"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IMMZD1ClientHistoryPolio","IMMZD1ClientHistoryPolio","","","",0,*,"","","","null {[]} {[]}
","IMMZ.D1 Capture Client History for Polio","Data elements for the IMMZ.D1 Capture Client History Data Dictionary for Polio.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"IMMZD1ClientHistoryPolio.patient","IMMZD1ClientHistoryPolio.patient","","","",1,1,"","","","Reference {[]} {[]}
","Patient","The patient who is being checked for contraindications.","","","","","","","","","",,,,,"",,,,"IMMZD1ClientHistory.patient",1,1,"",""
"IMMZD1ClientHistoryPolio.type","IMMZD1ClientHistoryPolio.type","","","",1,*,"","","","Coding {[]} {[]}
","Type of dose","The type of dose in a series that the client received","","","","","","","","","",,"required","","http://smart.who.int/ig/smart-immunizations/ValueSet/IMMZ.D1.DE103","http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE103
",,,,"IMMZD1ClientHistory.type",1,*,"",""
"IMMZD1ClientHistoryPolio.completedPrimarySeries","IMMZD1ClientHistoryPolio.completedPrimarySeries","","","",0,1,"","","","boolean {[]} {[]}
","Completed the primary vaccination series","Indicates if the client has completed the primary vaccination series of a product/antigen. If the client has not yet completed their primary series, it means they may be expected to receive more doses to complete their vaccination regimen for the respective product/antigen.","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE8
",,,,"IMMZD1ClientHistory.completedPrimarySeries",0,1,"",""
"IMMZD1ClientHistoryPolio.booster","IMMZD1ClientHistoryPolio.booster","","","",0,1,"","","","boolean {[]} {[]}
","Completed the booster series","Indicates if the client has completed the booster series of a product/antigen","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE102
",,,,"IMMZD1ClientHistory.booster",0,1,"",""
"IMMZD1ClientHistoryPolio.dateSeriesCompleted","IMMZD1ClientHistoryPolio.dateSeriesCompleted","","","",1,1,"","","","date {[]} {[]}
","Date when primary vaccination series was completed","The date when the client completed the primary vaccination series (per product/antigen)","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE81
",,,,"IMMZD1ClientHistory.dateSeriesCompleted",1,1,"",""
"IMMZD1ClientHistoryPolio.hivStatus","IMMZD1ClientHistoryPolio.hivStatus","","","",0,1,"","","","Coding {[]} {[]}
","HIV status","The current human immunodeficiency virus (HIV) status of the client","","","","","","","","","",,"required","","http://smart.who.int/ig/smart-immunizations/ValueSet/IMMZ.D1.DE10","http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE10
http://loinc.org#55277-8http://snomed.info/sct#278977008",,,,"IMMZD1ClientHistory.hivStatus",0,1,"",""
"IMMZD1ClientHistoryPolio.pretermBirth","IMMZD1ClientHistoryPolio.pretermBirth","","","",0,1,"","","","boolean {[]} {[]}
","Preterm birth","The infant was preterm; the mother gave birth to the infant when gestational age was less than 37 weeks","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE15
http://hl7.org/fhir/sid/icd-11#KA21.4http://loinc.org#76517-2http://snomed.info/sct#395507008",,,,"IMMZD1ClientHistory.pretermBirth",0,1,"",""
"IMMZD1ClientHistoryPolio.immunocompromised","IMMZD1ClientHistoryPolio.immunocompromised","","","",0,1,"","","","boolean {[]} {[]}
","Immunocompromised","The client is known to be immunocompromised. This means the client has a weakened immune system and having a reduced ability to fight infections and other diseases","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE16
http://hl7.org/fhir/sid/icd-11#4B4Zhttp://loinc.org#96381-9http://snomed.info/sct#370388006",,,,"IMMZD1ClientHistory.immunocompromised",0,1,"",""
"IMMZD1ClientHistoryPolio.onART","IMMZD1ClientHistoryPolio.onART","","","",0,1,"","","","boolean {[]} {[]}
","Currently on ART","The client is currently receiving antiretroviral therapy (ART)","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE17
",,,,"IMMZD1ClientHistory.onART",0,1,"",""
"IMMZD1ClientHistoryPolio.vaccineHistory","IMMZD1ClientHistoryPolio.vaccineHistory","","","",0,*,"","","","BackboneElement {[]} {[]}
","Vaccine History","History of previous vaccine doses.","","","","","","","","","",,,,,"",,,,"IMMZD1ClientHistory.vaccineHistory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IMMZD1ClientHistoryPolio.vaccineHistory.id","IMMZD1ClientHistoryPolio.vaccineHistory.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"IMMZD1ClientHistoryPolio.vaccineHistory.extension","IMMZD1ClientHistoryPolio.vaccineHistory.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IMMZD1ClientHistoryPolio.vaccineHistory.modifierExtension","IMMZD1ClientHistoryPolio.vaccineHistory.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IMMZD1ClientHistoryPolio.vaccineHistory.vaccineType","IMMZD1ClientHistoryPolio.vaccineHistory.vaccineType","","","",0,1,"","","","Coding {[]} {[]}
","Vaccine type","Vaccine type/category that was administered or was to be administered. Any vaccine code available in the IMMZ.Z Vaccine Library list of codes applies in this data element","","","","","","","","","",,"required","","http://smart.who.int/ig/smart-immunizations/ValueSet/IMMZ.Z.DE14","http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D#DE19
http://loinc.org#39236-5http://snomed.info/sct#787859002",,,,"IMMZD1ClientHistory.vaccineHistory.vaccineType",0,1,"",""
"IMMZD1ClientHistoryPolio.vaccineHistory.vaccineDate","IMMZD1ClientHistoryPolio.vaccineHistory.vaccineDate","","","",0,1,"","","","date {[]} {[]}
","Date and time of vaccination","Represents the visit/encounter date, which is the date and time when the vaccine was administered to the client","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D#DE20
http://loinc.org#30952-6",,,,"IMMZD1ClientHistory.vaccineHistory.vaccineDate",0,1,"",""
"IMMZD1ClientHistoryPolio.birth","IMMZD1ClientHistoryPolio.birth","","","",1,1,"","","","boolean {[]} {[]}
","Birth dose","Indicates if the client received a dose within 24 hours of birth. Whether a birth dose is counted as part of the primary series will depend on the antigen.","","","","","","","","","",,,,,"http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE109
",,,,"IMMZD1ClientHistoryPolio.birth",1,1,"",""
"IMMZD1ClientHistoryPolio.poliotype","IMMZD1ClientHistoryPolio.poliotype","","","",1,1,"","","","Coding {[]} {[]}
","Type of polio dose","The type of the polio vaccine dose administered to the client","","","","","","","","","",,"required","","http://smart.who.int/ig/smart-immunizations/ValueSet/IMMZ.D1.DE35","http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1#DE35
http://hl7.org/fhir/sid/icd-11#XM0N50",,,,"IMMZD1ClientHistoryPolio.poliotype",1,1,"",""
